index,image_path_rel,yolo_class,cls_name,cam_lon,cam_lat,sign_lon,sign_lat,center_x_px,center_y_px,width_px,height_px,area_px2
41,abcnew\20241008_023316_DR9E90247_0345_original.jpg,cirinsturct,우측통과,126.54365,36.60071,126.54352141630713,36.60059468634315,707,430,26,30,780
42,abcnew\20241008_023316_DR9E90247_0348_original.jpg,cirinsturct,우측통과,126.54344,36.6006,126.54332001310232,36.60049151789313,689,430,27,32,864
43,abcnew\20241008_023316_DR9E90247_0352_original.jpg,cirinsturct,우측통과,126.54344,36.6006,126.54334083880129,36.60050739943005,659,428,31,38,1178
44,abcnew\20241008_023316_DR9E90247_0357_original.jpg,cirinsturct,우측통과,126.54344,36.6006,126.5433577655997,36.60051782599413,611,425,37,44,1628
45,abcnew\20241008_023316_DR9E90247_0361_original.jpg,cirinsturct,우측통과,126.54344,36.6006,126.54337489751714,36.60052781470749,559,421,44,52,2288
46,abcnew\20241008_023316_DR9E90247_0365_original.jpg,cirinsturct,우측통과,126.54344,36.6006,126.54339070904501,36.60053524431004,490,416,47,61,2867
47,abcnew\20241008_023316_DR9E90247_0368_original.jpg,cirinsturct,우측통과,126.54344,36.6006,126.54340114799511,36.60053956183385,424,415,55,68,3740
48,abcnew\20241008_023316_DR9E90247_0372_original.jpg,cirinsturct,우측통과,126.54326,36.60049,126.5432361639702,36.60043991238536,303,406,59,86,5074
49,abcnew\20241008_023316_DR9E90247_0376_original.jpg,cirinsturct,우측통과,126.54326,36.60049,126.54324819825098,36.60044977747598,131,395,61,111,6771
50,abcnew\20241008_023316_DR9E90247_0454_original.jpg,triregulation,양보,126.54284,36.60026,126.54268853460589,36.60021717303498,1157,404,30,36,1080
51,abcnew\20241008_023316_DR9E90247_0458_original.jpg,triregulation,양보,126.54284,36.60026,126.54269961289042,36.600221886362256,1178,398,39,39,1521
52,abcnew\20241008_023316_DR9E90247_0462_original.jpg,triregulation,양보,126.54284,36.60026,126.54271499369567,36.600227758294395,1202,393,44,44,1936
53,abcnew\20241008_023316_DR9E90247_0466_original.jpg,triregulation,양보,126.54264,36.60014,126.54253759324752,36.60011545383402,1232,387,50,54,2700
54,abcnew\20241008_023316_DR9E90247_0469_original.jpg,triregulation,양보,126.54264,36.60014,126.54254889607364,36.60011975709576,1262,381,58,61,3538
55,abcnew\20241008_023316_DR9E90247_0474_original.jpg,triregulation,양보,126.54264,36.60014,126.54255974822644,36.60012545196205,1323,365,70,70,4900
56,abcnew\20241008_023316_DR9E90247_0477_original.jpg,triregulation,양보,126.54264,36.60014,126.54257425378367,36.60013056610173,1374,357,75,86,6450
57,abcnew\20241008_023316_DR9E90247_0810_original.jpg,triregulation,낙석주의,126.54029,36.59923,126.54012555384983,36.59919522878868,1128,394,24,34,816
58,abcnew\20241008_023316_DR9E90247_0814_original.jpg,triregulation,낙석주의,126.54029,36.59923,126.54011333256415,36.59919949431894,1135,381,26,32,832
59,abcnew\20241008_023316_DR9E90247_0819_original.jpg,triregulation,낙석주의,126.54029,36.59923,126.54013263730207,36.59920431134471,1146,383,31,36,1116
60,abcnew\20241008_023316_DR9E90247_0822_original.jpg,triregulation,낙석주의,126.54029,36.59923,126.54013933437335,36.59921322584424,1154,380,33,38,1254
61,abcnew\20241008_023316_DR9E90247_0826_original.jpg,triregulation,낙석주의,126.54029,36.59923,126.5401458752623,36.59922188967938,1167,369,36,40,1440
62,abcnew\20241008_023316_DR9E90247_0830_original.jpg,triregulation,낙석주의,126.54008,36.5992,126.53995443506302,36.59919997438485,1182,354,41,46,1886
63,abcnew\20241008_023316_DR9E90247_0834_original.jpg,triregulation,낙석주의,126.54008,36.5992,126.53996486269114,36.599207062833955,1204,339,46,50,2300
64,abcnew\20241008_023316_DR9E90247_0837_original.jpg,triregulation,낙석주의,126.54008,36.5992,126.53998166992297,36.5992119736567,1224,329,50,58,2900
65,abcnew\20241008_023316_DR9E90247_0840_original.jpg,triregulation,낙석주의,126.54008,36.5992,126.53998987435514,36.59921269735849,1248,326,57,63,3591
66,abcnew\20241008_023316_DR9E90247_0844_original.jpg,triregulation,낙석주의,126.54008,36.5992,126.54000698374766,36.5992127003664,1290,320,69,77,5313
67,abcnew\20241008_023316_DR9E90247_0849_original.jpg,triregulation,낙석주의,126.54008,36.5992,126.54001799892433,36.59921427359878,1363,294,80,89,7120
68,abcnew\20241008_023316_DR9E90247_0852_original.jpg,triregulation,낙석주의,126.54008,36.5992,126.54002644469672,36.59921494374614,1426,267,91,101,9191
69,abcnew\20241008_023316_DR9E90247_0855_original.jpg,triregulation,낙석주의,126.54008,36.5992,126.54003514410834,36.59921534952606,1510,232,101,117,11817
70,abcnew\20241008_023316_DR9E90247_0859_original.jpg,triregulation,낙석주의,126.53986,36.59917,126.5398261368401,36.59918558239061,1675,176,105,145,15225
71,abcnew\20241008_023316_DR9E90247_0922_original.jpg,regulation1,속도60,126.53941,36.59914,126.53925305769123,36.599167295471396,1177,309,31,36,1116
72,abcnew\20241008_023316_DR9E90247_0926_original.jpg,regulation1,속도60,126.53941,36.59914,126.53927024388997,36.599169412228754,1210,296,36,40,1440
73,abcnew\20241008_023316_DR9E90247_0929_original.jpg,regulation1,속도60,126.53941,36.59914,126.53928683128099,36.599169031781095,1240,275,41,45,1845
74,abcnew\20241008_023316_DR9E90247_0933_original.jpg,regulation1,속도60,126.53941,36.59914,126.53930312156297,36.59916993658164,1293,239,48,51,2448
75,abcnew\20241008_023316_DR9E90247_0937_original.jpg,regulation1,속도60,126.53941,36.59914,126.53932308384643,36.599169835248006,1369,200,57,61,3477
76,abcnew\20241008_023316_DR9E90247_0940_original.jpg,regulation1,속도60,126.53941,36.59914,126.53933871535247,36.59916908390496,1449,161,66,72,4752
77,abcnew\20241008_023316_DR9E90247_0944_original.jpg,regulation1,속도60,126.53941,36.59914,126.53935619603101,36.599168558061336,1602,78,81,89,7209
78,abcnew\20241008_023316_DR9E90247_0952_original.jpg,regulation2,비탈길금지,126.53921,36.59913,126.53912978580945,36.599151875300244,1289,311,54,68,3672
79,abcnew\20241008_023316_DR9E90247_0955_original.jpg,regulation2,비탈길금지,126.53921,36.59913,126.53914037357569,36.599151747318416,1338,292,60,77,4620
80,abcnew\20241008_023316_DR9E90247_0959_original.jpg,regulation2,비탈길금지,126.53921,36.59913,126.53915621298339,36.599150822576334,1429,260,75,96,7200
81,abcnew\20241008_023316_DR9E90247_0963_original.jpg,regulation1,비탈길금지,126.53921,36.59913,126.53917027934004,36.59914971949343,1564,209,91,122,11102
82,abcnew\20241008_023316_DR9E90247_0963_original.jpg,regulation2,비탈길금지,126.53921,36.59913,126.53916995843373,36.59914991094906,1565,209,91,121,11011
83,abcnew\20241008_063407_DR9E90247_1699_original.jpg,regulation1,속도70,126.50738,36.59783,126.50729486798508,36.59785358815527,1288,362,59,64,3776
84,abcnew\20241008_063407_DR9E90247_1703_original.jpg,regulation1,속도70,126.50738,36.59783,126.50734069287667,36.59788290122454,1354,348,67,75,5025
85,abcnew\20241008_063407_DR9E90247_1706_original.jpg,regulation1,속도70,126.50738,36.59783,126.50739048301405,36.59788231988078,1420,333,78,87,6786
86,abcnew\20241008_063407_DR9E90247_1709_original.jpg,regulation1,속도70,126.50759,36.59783,126.50763188556758,36.59785864857738,1504,314,89,104,9256
87,abcnew\20241008_063407_DR9E90247_1713_original.jpg,regulation1,속도70,126.50759,36.59783,126.50763403533611,36.59782836296973,1664,280,105,129,13545
88,abcnew\20241008_063407_DR9E90247_1717_original.jpg,regulation1,속도70,126.50759,36.59783,126.50761330568083,36.597810293833795,1882,233,73,166,12118
89,abcnew\20241008_063607_DR9E90247_0768_original.jpg,regulation2,우회전금지,126.52651,36.59898,126.52666822539533,36.598957992599814,1115,395,32,36,1152
90,abcnew\20241008_063607_DR9E90247_0771_original.jpg,regulation2,우회전금지,126.52651,36.59898,126.52665997122821,36.59895960807348,1126,390,33,38,1254
91,abcnew\20241008_063607_DR9E90247_0787_original.jpg,regulation1,우회전금지,126.52673,36.59898,126.52682128735061,36.59895585150772,1231,354,55,60,3300
92,abcnew\20241008_063607_DR9E90247_0791_original.jpg,regulation2,우회전금지,126.52673,36.59898,126.52680642675338,36.59895555030029,1279,337,63,70,4410
93,abcnew\20241008_063607_DR9E90247_0797_original.jpg,regulation1,우회전금지,126.52673,36.59898,126.52678417447544,36.5989574744622,1389,300,85,94,7990
94,abcnew\20241008_063607_DR9E90247_0998_original.jpg,regulation1,속도60,126.52818,36.59898,126.52834676260542,36.59893682656543,1209,367,27,33,891
95,abcnew\20241008_063607_DR9E90247_1005_original.jpg,regulation1,속도60,126.52818,36.59898,126.52831827823375,36.59893720980969,1267,343,33,39,1287
96,abcnew\20241008_063607_DR9E90247_1009_original.jpg,regulation1,속도60,126.52818,36.59898,126.52829769531081,36.59893885983119,1313,328,38,45,1710
97,abcnew\20241008_063607_DR9E90247_1013_original.jpg,regulation1,속도60,126.52818,36.59898,126.52827913688617,36.59893990264469,1376,310,44,52,2288
98,abcnew\20241008_063607_DR9E90247_1016_original.jpg,regulation1,속도60,126.52818,36.59898,126.52826732902811,36.59893892674515,1437,292,48,57,2736
99,abcnew\20241008_063607_DR9E90247_1019_original.jpg,regulation1,속도60,126.52818,36.59898,126.52825296861513,36.59893956489698,1516,266,54,65,3510
100,abcnew\20241008_063607_DR9E90247_1023_original.jpg,regulation1,속도60,126.52839,36.59897,126.52844414491625,36.59893205440401,1660,219,57,80,4560
101,abcnew\20241008_063607_DR9E90247_1027_original.jpg,regulation1,속도60,126.52839,36.59897,126.5284285495305,36.5989347050699,1867,159,60,98,5880
102,abcnew\20241008_063607_DR9E90247_1409_original.jpg,regulation1,속도60,126.53106,36.59886,126.53125238997258,36.59881780771651,1111,406,21,29,609
103,abcnew\20241008_063607_DR9E90247_1414_original.jpg,regulation1,속도60,126.53131,36.59885,126.53147267407734,36.59881021948754,1141,399,29,34,986
104,abcnew\20241008_063607_DR9E90247_1417_original.jpg,regulation1,속도60,126.53131,36.59885,126.53145838898078,36.598810763560124,1165,394,31,37,1147
105,abcnew\20241008_063607_DR9E90247_1421_original.jpg,regulation1,속도60,126.53131,36.59885,126.5314358072893,36.59881212374763,1206,382,39,43,1677
106,abcnew\20241008_063607_DR9E90247_1425_original.jpg,regulation1,속도60,126.53131,36.59885,126.53141359473643,36.59881337220246,1264,370,46,51,2346
107,abcnew\20241008_063607_DR9E90247_1429_original.jpg,regulation1,속도60,126.53131,36.59885,126.53138800099588,36.59881615758315,1352,350,58,65,3770
108,abcnew\20241008_063607_DR9E90247_1432_original.jpg,regulation1,속도60,126.53131,36.59885,126.53137082206396,36.59881788982692,1454,326,67,79,5293
